lastname,firstname,residentID,programID,name
Abbott,Ryker,28398979,IMD,Internal Medicine
Abbott,Addilynn,49021409,NRS,Neurosurgery
Abbott,Kason,38125557,FMD,Family Medicine
Abbott,Mark,70659686,FMD,Family Medicine
Abbott,Jacqueline,82082701,NRO,Neurology
Abbott,Raiden,28368769,ANT,Anesthesiology
Abbott,Davion,86875219,DMP,Diagnostic and Molecular Pathology
Acevedo,Princess,38461723,XXX,NOT_MATCHED
Acevedo,Charlie,96392328,FME,Family Medicine integrated Emergency Medicine
Acevedo,Makenzie,61306042,IMD,Internal Medicine
Acevedo,Marceline,14889139,FMD,Family Medicine
Acevedo,Fabian,76439384,FMD,Family Medicine
Acevedo,Serena,64259490,XXX,NOT_MATCHED
Acevedo,Sawyer,32788978,FMD,Family Medicine
Acevedo,Ximena,86431437,PSY,Psychiatry
Acosta,Sky,61201784,URO,Urology
Acosta,Albert,86000199,FMD,Family Medicine
Acosta,Nathaniel,74933410,FMD,Family Medicine
Acosta,Blaire,98973026,NRO,Neurology
Acosta,Rosa,98921340,ANT,Anesthesiology
Acosta,Finley,52965076,PSY,Psychiatry
Adams,Delilah,63452951,IMD,Internal Medicine
Adams,Gatlin,51742621,FMD,Family Medicine
Adams,Alondra,91707568,FMD,Family Medicine
Adkins,Irene,74158554,FMD,Family Medicine
Adkins,Marilyn,37018061,XXX,NOT_MATCHED
Aguilar,Isabelle,92495741,FMD,Family Medicine
Aguilar,Helena,92157821,IMD,Internal Medicine
Aguilar,Melani,32210955,GSU,General Surgery
Aguirre,Finley,67864779,FMD,Family Medicine
Ahmed,Beckett,15404204,IMD,Internal Medicine
Ahmed,Dangelo,23645224,XXX,NOT_MATCHED
Ahmed,Isaiah,58128606,FMD,Family Medicine
Ahmed,Cash,89090859,PDT,Pediatrics
Ahmed,Guadalupe,61384602,IMD,Internal Medicine
Alexander,Cash,79619086,PSY,Psychiatry
Alexander,Nathalia,37306694,IMD,Internal Medicine
Alexander,Sarah,72007344,IMD,Internal Medicine
Alexander,Zayne,92434234,OBG,Obstetrics and Gynecology
Alexander,Bruce,55049149,IMD,Internal Medicine
Alexander,Levi,13224733,PSY,Psychiatry
Alexander,Mohamed,23346600,XXX,NOT_MATCHED
